location,dist,azimuth,location_type,city_8,orig_country_103
"('Kajiado', 'Kajiado', 'Kenya')",75.38361650600152,-1.515417520290787,3,Nairobi,Kenya
"('Masii', 'Masii', 'Kenya')",76.48025825573772,-0.0750909634727998,1,Nairobi,Kenya
"('nan', 'Lethabong', 'South Africa')",76.50835318200326,2.4378278727340907,1,Johannesburg,South Africa
"('Nyeri', 'Nyeri', 'Kenya')",79.77536542824363,1.2842839744505437,4,Nairobi,Kenya
"('Kirinyaga', 'Kirinyaga', 'Kenya')",82.78284287260941,1.0229896911538285,2,Nairobi,Kenya
"('Villiers', 'Free State', 'South Africa')",84.10017851033207,-0.9336254651448114,1,Johannesburg,South Africa
"('Akumfi', 'Akumfi', 'Ghana')",84.80940661335114,-2.797024578939664,1,Accra,Ghana
"('Anyinam', 'Anyinam', 'Ghana')",87.34838422456122,2.0700792859501176,1,Accra,Ghana
"('Rustenburg', 'Rustenburg', 'South Africa')",89.16270767111551,2.842452390843503,1,Johannesburg,South Africa
"('Kerugoya', 'Kerugoya', 'Kenya')",90.90949112526316,0.867948628260436,2,Nairobi,Kenya
"('Sogakope', 'Sogakope', 'Ghana')",91.23820895503812,0.3910594142449969,2,Accra,Ghana
"('Wote', 'Wote', 'Kenya')",91.24999928842868,-0.5207872917754484,4,Nairobi,Kenya
"('Oda', 'Oda', 'Ghana')",93.1550979593387,2.9455657393565517,2,Accra,Ghana
"('Kade', 'Kade', 'Ghana')",93.62221253754103,2.4062722781012678,1,Accra,Ghana
"('Akim Oda', 'Akim Oda', 'Ghana')",94.0948362050589,2.861192986126081,4,Accra,Ghana
"('nan', 'Nyandarua', 'Kenya')",94.16714606634145,1.8698415076571937,1,Nairobi,Kenya
"('Namanga', 'Namanga', 'Kenya')",102.78000460296589,-1.5220702408038793,1,Nairobi,Kenya
"('Kwamhlanga', 'Kwamhlanga', 'South Africa')",103.43642362081569,0.7954761769688847,1,Johannesburg,South Africa
"('Mankessim', 'Mankessim', 'Ghana')",104.97261322710001,-2.6808347004430564,1,Accra,Ghana
"('Runsternburg', 'Tlhabane', 'South Africa')",106.95479427964635,2.615713506514502,1,Johannesburg,South Africa
"('Ol Kalou', 'Ol Kalou', 'Kenya')",109.22306162072452,1.9546278962382144,1,Nairobi,Kenya
"('Kyua', 'Kyua', 'Kenya')",111.95351390069287,-0.00833458814666103,1,Nairobi,Kenya
"('Saltpond', 'Saltpond', 'Ghana')",112.13798863502019,-2.6410551465956624,1,Accra,Ghana
"('Saltpond', 'Cape Coast', 'Ghana')",112.13798863502019,-2.6410551465956624,1,Accra,Ghana
"('Phokeng', 'Phokeng', 'South Africa')",116.03995181227096,2.596682626859119,1,Johannesburg,South Africa
"('Nakuru', 'Nakuru', 'Kenya')",117.11782229175583,2.266232161290216,6,Nairobi,Kenya
"('Nkawkaw', 'Nkawkaw', 'Ghana')",117.18253327008865,2.1751031151221527,4,Accra,Ghana
"('Secunda', 'Secunda', 'South Africa')",117.84075777619728,-0.14701911939962797,1,Johannesburg,South Africa
"('Thokoza', 'Thokoza', 'South Africa')",118.44396325284514,0.9162904573375034,5,Johannesburg,South Africa
"('Thokoza', 'Johannesburg', 'South Africa')",118.44396325284514,0.9162904573375034,1,Johannesburg,South Africa
"('Alakple', 'Alakple', 'Ghana')",118.49597655621761,0.16997818820076802,1,Accra,Ghana
"('Kwahu', 'Kwahu', 'Ghana')",118.87995861875041,2.0608085748048763,1,Accra,Ghana
"('Embu', 'Embu', 'Kenya')",120.9362831052233,0.5724891806314639,5,Nairobi,Kenya
"('Githunguri', 'Githunguri', 'Kenya')",122.29345097169661,0.839734082553226,1,Nairobi,Kenya
