,city_8,location,num_moves,dist,azimuth,lat,lon,location_pair,location_pair_id,locations,country,loc2,loc1
249,Johannesburg,"('Germiston', 'Germiston', 'South Africa')",3,11.206976085850114,1.2748950593209036,28.180556,-26.229444,"('Johannesburg', ('Germiston', 'Germiston', 'South Africa'))",124,"('Germiston', 'Germiston', 'South Africa')",South Africa,Germiston,Germiston
250,Johannesburg,"('Louis Trichardt', 'Louis Trichardt', 'South Africa')",3,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Louis Trichardt', 'Louis Trichardt', 'South Africa'))",125,Johannesburg,South Africa,Louis Trichardt,Louis Trichardt
251,Johannesburg,"('Louis Trichardt', 'Louis Trichardt', 'South Africa')",3,351.64022293383266,0.9182029107806158,29.906665000000004,-23.038326,"('Johannesburg', ('Louis Trichardt', 'Louis Trichardt', 'South Africa'))",125,"('Louis Trichardt', 'Louis Trichardt', 'South Africa')",South Africa,Louis Trichardt,Louis Trichardt
252,Johannesburg,"('Makhado', 'Makhado', 'South Africa')",3,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Makhado', 'Makhado', 'South Africa'))",126,Johannesburg,South Africa,Makhado,Makhado
253,Johannesburg,"('Makhado', 'Makhado', 'South Africa')",3,351.64022293383266,0.9182029107806158,29.906665000000004,-23.038326,"('Johannesburg', ('Makhado', 'Makhado', 'South Africa'))",126,"('Makhado', 'Makhado', 'South Africa')",South Africa,Makhado,Makhado
254,Johannesburg,"('Pretoria', 'Pretoria', 'South Africa')",3,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Pretoria', 'Pretoria', 'South Africa'))",127,Johannesburg,South Africa,Pretoria,Pretoria
255,Johannesburg,"('Pretoria', 'Pretoria', 'South Africa')",3,58.34789330208944,1.4983392200346266,28.187944399999996,-25.7459374,"('Johannesburg', ('Pretoria', 'Pretoria', 'South Africa'))",127,"('Pretoria', 'Pretoria', 'South Africa')",South Africa,Pretoria,Pretoria
256,Johannesburg,"('Tzaneen', 'Tzaneen', 'South Africa')",3,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Tzaneen', 'Tzaneen', 'South Africa'))",128,Johannesburg,South Africa,Tzaneen,Tzaneen
257,Johannesburg,"('Tzaneen', 'Tzaneen', 'South Africa')",3,330.29706030942714,0.8200131926681239,30.161111100000003,-23.831944399999998,"('Johannesburg', ('Tzaneen', 'Tzaneen', 'South Africa'))",128,"('Tzaneen', 'Tzaneen', 'South Africa')",South Africa,Tzaneen,Tzaneen
258,Johannesburg,"('Addis Ababa', 'Addis Ababa', 'Ethiopia')",2,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Addis Ababa', 'Addis Ababa', 'Ethiopia'))",129,Johannesburg,Ethiopia,Addis Ababa,Addis Ababa
259,Johannesburg,"('Addis Ababa', 'Addis Ababa', 'Ethiopia')",2,3456.9856719882296,1.0597971268783932,38.761252500000005,9.0107934,"('Johannesburg', ('Addis Ababa', 'Addis Ababa', 'Ethiopia'))",129,"('Addis Ababa', 'Addis Ababa', 'Ethiopia')",Ethiopia,Addis Ababa,Addis Ababa
260,Johannesburg,"('Alberton', 'Alberton', 'South Africa')",2,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Alberton', 'Alberton', 'South Africa'))",130,Johannesburg,South Africa,Alberton,Alberton
261,Johannesburg,"('Alberton', 'Alberton', 'South Africa')",2,8.825800202074923,1.8769982676700454,28.1270777,-26.2529561,"('Johannesburg', ('Alberton', 'Alberton', 'South Africa'))",130,"('Alberton', 'Alberton', 'South Africa')",South Africa,Alberton,Alberton
262,Johannesburg,"('Brits', 'Brits', 'South Africa')",2,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Brits', 'Brits', 'South Africa'))",131,Johannesburg,South Africa,Brits,Brits
263,Johannesburg,"('Brits', 'Brits', 'South Africa')",2,38.847842607839546,2.27176464340548,27.7841667,-25.629722199999996,"('Johannesburg', ('Brits', 'Brits', 'South Africa'))",131,"('Brits', 'Brits', 'South Africa')",South Africa,Brits,Brits
264,Johannesburg,"('Kwekwe', 'Kwekwe', 'Zimbabwe')",2,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Kwekwe', 'Kwekwe', 'Zimbabwe'))",132,Johannesburg,Zimbabwe,Kwekwe,Kwekwe
