,respondentID,birthyear,age,distance_from_origin_location_km,location_name_D,location_latlon_D,location_name_O,location_latlon_O,index_O,name_O,index_D,name_D,count,location_tuple_O,location_tuple_D,location_O1,location_O2,location_O3,location_D1,location_D2,location_D3,location_O32,location_D32,location_O321,location_D321,i_O321,i_O1,i_O2,i_O3,i_D321,i_D1,i_D2,i_D3,color
30,283516,1965,56,858.0045604627944,"('James Town', 'Accra', 'Ghana')","(5.535796599999999, -0.21036370000000001)","('Ebutemeyta', 'Lagos', 'Nigeria')","(4.5908447, 7.469750200000001)",29,"Ebutemeyta, Lagos, Nigeria",242,"James Town, Accra, Ghana",1,"('Ebutemeyta', 'Lagos', 'Nigeria')","('James Town', 'Accra', 'Ghana')",Ebutemeyta,Lagos,Nigeria,James Town,Accra,Ghana,Nigeria > Lagos,Ghana > Accra,Nigeria > Lagos > Ebutemeyta,Ghana > Accra > James Town,211,185,70,8,29,209,18,3,"rgba(40,111,52, 0.8)"
31,288609,1995,26,857.2766387888176,"('Madina', 'Accra', 'Ghana')","(5.6864962, -0.16770520000000003)","('Amawom', 'Owerri', 'Nigeria')","(5.466667, 7.566667)",30,"Amawom, Owerri, Nigeria",240,"Madina, Accra, Ghana",1,"('Amawom', 'Owerri', 'Nigeria')","('Madina', 'Accra', 'Ghana')",Amawom,Owerri,Nigeria,Madina,Accra,Ghana,Nigeria > Owerri,Ghana > Accra,Nigeria > Owerri > Amawom,Ghana > Accra > Madina,225,133,84,8,34,238,18,3,"rgba(40,111,52, 0.8)"
32,284584,1989,32,847.964669177707,"('Old Fadama', 'Accra', 'Ghana')","(5.5488671, -0.22252159999999999)","('Tampouy', 'Ouagadougou', 'Burkina Faso')","(13.010249, -1.9977098000000002)",31,"Tampouy, Ouagadougou, Burkina Faso",241,"Old Fadama, Accra, Ghana",1,"('Tampouy', 'Ouagadougou', 'Burkina Faso')","('Old Fadama', 'Accra', 'Ghana')",Tampouy,Ouagadougou,Burkina Faso,Old Fadama,Accra,Ghana,Burkina Faso > Ouagadougou,Ghana > Accra,Burkina Faso > Ouagadougou > Tampouy,Ghana > Accra > Old Fadama,14,286,82,1,38,271,18,3,"rgba(65,59,32, 0.8)"
33,288199,1979,42,845.4133373283072,"('Old Fadama', 'Accra', 'Ghana')","(5.5488671, -0.22252159999999999)","('Daura', 'Kumo', 'Niger')","(11.2388096, 4.9056334)",32,"Daura, Kumo, Niger",241,"Old Fadama, Accra, Ghana",1,"('Daura', 'Kumo', 'Niger')","('Old Fadama', 'Accra', 'Ghana')",Daura,Kumo,Niger,Old Fadama,Accra,Ghana,Niger > Kumo,Ghana > Accra,Niger > Kumo > Daura,Ghana > Accra > Old Fadama,162,179,69,7,38,271,18,3,"rgba(77,103,23, 0.8)"
34,289110,1990,31,844.6925466283321,"('Madina', 'Accra', 'Ghana')","(5.6864962, -0.16770520000000003)","('Enugu', 'Anambra', 'Nigeria')","(6.5536094, 7.4143061)",33,"Enugu, Anambra, Nigeria",240,"Madina, Accra, Ghana",1,"('Enugu', 'Anambra', 'Nigeria')","('Madina', 'Accra', 'Ghana')",Enugu,Anambra,Nigeria,Madina,Accra,Ghana,Nigeria > Anambra,Ghana > Accra,Nigeria > Anambra > Enugu,Ghana > Accra > Madina,180,49,23,8,34,238,18,3,"rgba(40,111,52, 0.8)"
35,289428,1986,35,844.6925466283321,"('Madina', 'Accra', 'Ghana')","(5.6864962, -0.16770520000000003)","('Nuskka', 'Enugu', 'Nigeria')","(6.5536094, 7.4143061)",34,"Nuskka, Enugu, Nigeria",240,"Madina, Accra, Ghana",1,"('Nuskka', 'Enugu', 'Nigeria')","('Madina', 'Accra', 'Ghana')",Nuskka,Enugu,Nigeria,Madina,Accra,Ghana,Nigeria > Enugu,Ghana > Accra,Nigeria > Enugu > Nuskka,Ghana > Accra > Madina,194,255,49,8,34,238,18,3,"rgba(40,111,52, 0.8)"
36,289379,1992,29,844.6925466283321,"('Madina', 'Accra', 'Ghana')","(5.6864962, -0.16770520000000003)","('Enugu', 'Lagos', 'Nigeria')","(6.5536094, 7.4143061)",35,"Enugu, Lagos, Nigeria",240,"Madina, Accra, Ghana",1,"('Enugu', 'Lagos', 'Nigeria')","('Madina', 'Accra', 'Ghana')",Enugu,Lagos,Nigeria,Madina,Accra,Ghana,Nigeria > Lagos,Ghana > Accra,Nigeria > Lagos > Enugu,Ghana > Accra > Madina,213,49,70,8,34,238,18,3,"rgba(40,111,52, 0.8)"
37,289098,1976,45,844.6925466283321,"('Madina', 'Accra', 'Ghana')","(5.6864962, -0.16770520000000003)","('Enugu', 'Enugu State', 'Nigeria')","(6.5536094, 7.4143061)",36,"Enugu, Enugu State, Nigeria",240,"Madina, Accra, Ghana",1,"('Enugu', 'Enugu State', 'Nigeria')","('Madina', 'Accra', 'Ghana')",Enugu,Enugu State,Nigeria,Madina,Accra,Ghana,Nigeria > Enugu State,Ghana > Accra,Nigeria > Enugu State > Enugu,Ghana > Accra > Madina,197,49,50,8,34,238,18,3,"rgba(40,111,52, 0.8)"
38,283866,1983,38,844.6925466283321,"('Madina', 'Accra', 'Ghana')","(5.6864962, -0.16770520000000003)","('Enugu', 'Enugu State', 'Nigeria')","(6.5536094, 7.4143061)",36,"Enugu, Enugu State, Nigeria",240,"Madina, Accra, Ghana",1,"('Enugu', 'Enugu State', 'Nigeria')","('Madina', 'Accra', 'Ghana')",Enugu,Enugu State,Nigeria,Madina,Accra,Ghana,Nigeria > Enugu State,Ghana > Accra,Nigeria > Enugu State > Enugu,Ghana > Accra > Madina,197,49,50,8,34,238,18,3,"rgba(40,111,52, 0.8)"
39,288141,1994,27,838.9710615142591,"('Old Fadama', 'Accra', 'Ghana')","(5.5488671, -0.22252159999999999)","('Ariaria', 'Aba', 'Nigeria')","(5.1, 7.3333330000000005)",37,"Ariaria, Aba, Nigeria",241,"Old Fadama, Accra, Ghana",1,"('Ariaria', 'Aba', 'Nigeria')","('Old Fadama', 'Accra', 'Ghana')",Ariaria,Aba,Nigeria,Old Fadama,Accra,Ghana,Nigeria > Aba,Ghana > Accra,Nigeria > Aba > Ariaria,Ghana > Accra > Old Fadama,172,139,11,8,38,271,18,3,"rgba(40,111,52, 0.8)"
