ID,originColor,9_lat,9_lon,9_location,100_lat,100_lon,100_location,202_lat,202_lon,202_location,202.1_lat,202.1_lon,202.1_location,202.2_lat,202.2_lon,202.2_location,202.3_lat,202.3_lon,202.3_location,202.4_lat,202.4_lon,202.4_location,206_lat,206_lon,206_location,211_lat,211_lon,211_location,214_lat,214_lon,214_location,215_lat,215_lon,215_location,nummoves200,moveCount,totalDist
278084,Ghana,-0.1677052,5.6864962,"('Madina', 'Accra', 'Ghana')",-0.1677052,5.6864962,"('Madina', 'Accra', 'Ghana')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,1,0
278086,Ghana,-0.1677052,5.6864962,"('Madina', 'Accra', 'Ghana')",-0.2614572,6.100334,"('Koforidua', 'Koforidua', 'Ghana')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,47.1823963
278087,Togo,-0.1677052,5.6864962,"('Madina', 'Accra', 'Ghana')",1.6085998,6.2332973,"('nan', 'Cotonou', 'Togo')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,1,206.6604803
278252,Sudan,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",32.5392079,15.5690117,"('Al Diyum East', 'Khartoum', 'Sudan')",36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,1608.252715
278253,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",36.751643,-1.2784631,"('Kawangware', 'Kawangware', 'Kenya')",36.8172449,-1.2832533,"('Pileline', 'Nairobi', 'Kenya')",36.9057928,-1.1856847,"('Kahawa', 'Thika', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,3,14.61412305
278259,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",36.8172449,-1.2832533,"('Nairobi', 'Nairobi', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,1,7.307061525
278260,Burundi,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",29.3675028,-3.3638125,"('Bujumbura', 'Bujumbura', 'Burundi')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,843.6933553
278262,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",34.8015489,0.4957104,"('Kakamega', 'Kakamega', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,1,269.4991451
278267,Tanzania,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",33.9955217,-1.7103998,"('Butiama', 'Butiama', 'Tanzania')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,1,308.9576283
278268,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",40.3563869,-0.5236031,"('Garissa', 'Garissa', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,406.16321
