Q100,nearNeighbor,Q103,Q100a,neighborhood,city,lat,lon,UNWPP_joined,Count
Bulawayo,Harare,Zimbabwe,Town,Diepsloot,Johannesburg,28.5887063,-20.1560599,1683,2
Bulawayo,Ntabazinduna,Zimbabwe,City,Berea,Johannesburg,28.5887063,-20.1560599,1683,1
Bulome,Mbaale,Uganda,Village,Kawangware,Nairobi,33.965869,0.3752688,436,1
Bumula,Bungoma Town,Kenya,Village,Kayole,Nairobi,34.5548548,0.5867895,4196,1
Bungati,Mbale,Uganda,Village,Kawangware,Nairobi,38.3802196,-3.4002674,1469,1
Bunjumbura,Bunjumbura,Burundi,Town,Kayole,Nairobi,29.3675028,-3.3638125,9777,1
Bunkpurugu,Bolgatanga,Ghana,Town,Old Fadama,Accra,0.0963092,10.518794,150,1
Buraza,Gitega,Burundi,Village,Kayole,Nairobi,29.9038563,-3.7479499,433,1
Busesa,Kampala,Uganda,Town,Kawangware,Nairobi,33.6006548,0.6267278,508,1
Bushika,Mbale,Uganda,Village,Kawangware,Nairobi,34.3399434,1.0493445,2224,1
Busia,Malaba,Kenya,Village,Kawangware,Nairobi,34.26479521,0.3712048,625,1
Busukuma,Mwanza,Tanzania,City,Kawangware,Nairobi,32.9014417,-2.5196915,14473,1
Butere,Kakamega,Kenya,Village,Kayole,Nairobi,34.4981298,0.2163078,1500,1
Butula,Bumala,Kenya,Village,Kawangware,Nairobi,34.3450785,0.3436242,663,1
Bwangani,Mbale,Uganda,Village,Kawangware,Nairobi,38.3802196,-3.4002674,#N/A,1
Cape Coast,Accra,Ghana,Town,Madina,Accra,-1.2430793,5.107467,2239,1
Cape Coast,Aidan,Ghana,City,James Town,Accra,-1.2430793,5.107467,2239,1
Cecil,Thohoyandou,South Africa,Village,Diepsloot,Johannesburg,30.4596582,-22.9676429,737,1
Chack Rasala,Shikhupora,Pakistan,Village,Diepsloot,Johannesburg,73.9864014,31.7085285,#N/A,1
Chamakanga,Sabatia,Kenya,Village,Ongata Rongai,Nairobi,34.5243436,0.2295824,1150,1
Changni In Tamale Central,Tamale,Ghana,Town,James Town,Accra,-0.8423986,9.4051992,544,1
Chepseon,Kericho,Kenya,Village,Ongata Rongai,Nairobi,35.2833,-0.3666,560,1
Cheshegu,Kumbugu,Ghana,Village,Old Fadama,Accra,-0.9548383,9.4582757,30,2
Chesterville,Workshop,South Africa,Town,Berea,Johannesburg,30.9475,-29.8477778,5196,1
