Q100,nearNeighbor,Q103,Q100a,neighborhood,city,lat,lon,UNWPP_joined,Count
Lagos,Ejigbo,Nigeria,City,Old Fadama,Accra,3.3941795,6.4550575,7403,1
Lagos,Festack,Nigeria,City,James Town,Accra,3.3941795,6.4550575,7403,1
Lagos,Ikeja,Nigeria,City,Old Fadama,Accra,3.3941795,6.4550575,7403,1
Lagos,Lagos,Nigeria,City,Ongata Rongai,Nairobi,3.3941795,6.4550575,7403,1
Lagos,Shomolu,Nigeria,City,Madina,Accra,3.3941795,6.4550575,7403,1
Lagos,Surulere,Nigeria,City,Old Fadama,Accra,3.3941795,6.4550575,7403,1
Lagos,Yaba,Nigeria,City,Madina,Accra,3.3941795,6.4550575,7403,1
Lagos,Yaba,Nigeria,City,Old Fadama,Accra,3.3941795,6.4550575,7403,1
Lagos State,Lagos State,Nigeria,City,Old Fadama,Accra,3.199551477,6.47333265,5422,1
Lagos State,Lewis Face One,Nigeria,City,Madina,Accra,3.199551477,6.47333265,5422,1
Lama Kara,Alembonda,Togo,Town,Old Fadama,Accra,1.2145506,6.1627496,5780,1
Landimawe,Butiama,Tanzania,Village,Kawangware,Nairobi,33.99552172,-1.7103998,124,1
Lanet,Nakuru,Kenya,Village,Kayole,Nairobi,36.1380317,-0.3042161,1034,1
Lante Gyan We,Bukom,Ghana,Town,James Town,Accra,-0.2012376,5.5571096,14940,1
Lartebiokorshie,Kaneshie,Ghana,Town,James Town,Accra,-0.2445068,5.5483316,14940,1
Larteh,Accra,Ghana,Town,Madina,Accra,-0.0688571,5.939456,272,1
Lawulani,Maputo,Mozambique,Town,Katlehong,Johannesburg,32.56745,-25.966213,7767,1
Lekamba,Ngaramtoni,Tanzania,Village,Kayole,Nairobi,36.6397893,-3.3140207,716,1
Lekazi,Mbombela,South Africa,Town,Katlehong,Johannesburg,30.984722,-25.481944,2089,1
Lekki,Lagos,Nigeria,Town,James Town,Accra,4.0947395,6.4123323,384,1
Lekki,Lagos,Nigeria,Town,Old Fadama,Accra,4.0947395,6.4123323,384,1
Leo,Bega,Burkina Faso,Town,Madina,Accra,-2.117444746,11.18140975,81,1
Lephalele,Pietersburg,South Africa,Village,Diepsloot,Johannesburg,29.4613889,-23.9058333,3273,1
Leribe Matlame,Hlotse,Lesotho,Village,Katlehong,Johannesburg,28.0579408,-28.866891,388,1
Leroro,Bushbuckridge,South Africa,Village,Diepsloot,Johannesburg,31.067731,-24.83356,1208,1
Likoni,Mombasa,Kenya,Village,Kayole,Nairobi,39.660652,-4.085332,12522,1
Limete,Limete Dr,Democratic Republic Of The Congo,City,Berea,Johannesburg,15.34676503,-4.3548692,10233,1
Limete,Limetek,Democratic Republic Of The Congo,City,Berea,Johannesburg,15.34676503,-4.3548692,10233,1
Limetelimete,Limete,Democratic Republic Of The Congo,City,Berea,Johannesburg,15.34676503,-4.3548692,10233,1
Lindley,Paris,France,Town,Katlehong,Johannesburg,2.320041022,48.8588897,#N/A,1
Livingstone,Livingstone,Zambia,Town,Berea,Johannesburg,25.861429,-17.853135,281,1
Lobhengula West,Bulawayo,Zimbabwe,Town,Diepsloot,Johannesburg,28.5887063,-20.1560599,1683,1
Lombli,Free Town,Sierra Leone,Town,James Town,Accra,-13.26795,8.479004,19519,1
Lome,Avepozo,Togo,City,Madina,Accra,1.215829,6.130419,9954,1
Lome,Gbegamey,Togo,City,Madina,Accra,1.215829,6.130419,9954,1
Lome,Lome,Togo,City,Madina,Accra,1.215829,6.130419,9954,3
Lome,Zogbedji,Togo,City,Madina,Accra,1.215829,6.130419,9954,1
Lorung'Osua,Namanga,Kenya,Town,Ongata Rongai,Nairobi,36.7915635,-2.5461733,2322,1
Lowergweru,Bolawayo,Zimbabwe,Village,Diepsloot,Johannesburg,28.1320448,-25.692831,1683,1
Luanda,Angola,Angola,Village,Katlehong,Johannesburg,13.2439512,-8.8272699,34962,1
Luanda Lang'O,Siaya,Kenya,Village,Kawangware,Nairobi,34.20013501,-0.06040135,158,1
Luandeti,Webuye,Kenya,Village,Kawangware,Nairobi,34.7687756,0.607628,2291,1
Lubhuku,Siteki,Eswatini,Village,Katlehong,Johannesburg,31.9463149,-26.4536442,31,1
Lububamshi,Katsanga,Democratic Republic Of The Congo,Village,Berea,Johannesburg,15.3125974,-4.3217055,44622,1
Lububamshi,Kinshasa,Democratic Republic Of The Congo,Village,Berea,Johannesburg,15.3125974,-4.3217055,44622,1
Lubumbashi,Lubumbashi,Democratic Republic Of The Congo,Town,Berea,Johannesburg,27.4826264,-11.6642316,4002,1
Lugezi,Minembwe,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,28.7300599,-3.9344201,45,1
Luhya,Busia,Kenya,Town,Kawangware,Nairobi,34.26479521,0.3712048,625,1
Luhya,Kitale,Kenya,Village,Kawangware,Nairobi,35.000236,1.018076,1993,1
Luhya,Nairobi,Kenya,Village,Kawangware,Nairobi,36.8172449,-1.2832533,5332,1
Luo,Awendo,Kenya,Town,Kawangware,Nairobi,34.53172,-0.9079812,869,1
Luo,Siaya,Kenya,Village,Kawangware,Nairobi,34.20013501,-0.06040135,158,1
Lupani,Bulawayo,Zimbabwe,Village,Katlehong,Johannesburg,30.9663559,-17.8965022,3201,1
Lusaka,Lusaka,Zambia,City,Berea,Johannesburg,28.2821535,-15.4164488,4555,2
Lusaka,Lusaka,Zambia,Town,Berea,Johannesburg,28.2821535,-15.4164488,4555,1
Lusikisiki,Cape Town,South Africa,Village,Katlehong,Johannesburg,29.573008,-31.36297,1012,1
Lutolo,Namaingo,Uganda,Village,Kayole,Nairobi,33.8885628,0.2513456,586,1
Lutolo,Namaingo,Uganda,Village,Ongata Rongai,Nairobi,33.8885628,0.2513456,586,1
Luveve,Mzilikazi,Zimbabwe,Town,Berea,Johannesburg,28.5084333,-20.0992305,1683,1
Lwamondo,Thohoyandou,South Africa,Village,Katlehong,Johannesburg,29.081292,-26.5389576,6680,1
Lwanda,Vihiga,Kenya,Village,Kayole,Nairobi,34.0586168,0.3076993,495,1
Mabalane,Chokwe,Mozambique,Town,Katlehong,Johannesburg,32.6257912,-23.8476463,10,1
Mabera-Kuria,Migori,Kenya,Village,Ongata Rongai,Nairobi,34.30964322,-1.0211616,262,1
Maboloko,Brits,South Africa,Village,Diepsloot,Johannesburg,29.4334714,-25.761844,4029,1
Machel Village,Shokwe,Mozambique,Village,Katlehong,Johannesburg,32.56745,-25.966213,7767,1
Machine,Kitale,Kenya,Town,Kawangware,Nairobi,39.9362232,2.4407875,35,1
Madadeni,New Castle,South Africa,City,Katlehong,Johannesburg,31.7913889,-25.8125,938,1
Madibong,Crossing,South Africa,Village,Diepsloot,Johannesburg,29.8836828,-24.7323787,718,1
Madina,Accra,Ghana,Town,Madina,Accra,-0.1677052,5.6864962,1379,4
Madina,Madina,Ghana,City,Madina,Accra,-0.1677052,5.6864962,1379,5
Madina,Madina,Ghana,Town,Madina,Accra,-0.1677052,5.6864962,1379,1
Madina,Adenta,Ghana,Town,Madina,Accra,-0.1677052,5.6864962,1379,7
Madina,Legon,Ghana,Town,Madina,Accra,-0.1677052,5.6864962,1379,7
Madina,Madina La Nkwantanang,Ghana,City,Madina,Accra,-0.1677052,5.6864962,1379,1
Madina,Madina Point 5,Ghana,City,Madina,Accra,-0.1677052,5.6864962,1379,1
Madina,Madina Ritx Junction,Ghana,City,Madina,Accra,-0.1677052,5.6864962,1379,1
Madina,Madina Ritz,Ghana,City,Madina,Accra,-0.1677052,5.6864962,1379,1
Madina,Madina Ritz Junction,Ghana,City,Madina,Accra,-0.1677052,5.6864962,1379,1
Madina,Madina99,Ghana,Town,Madina,Accra,-0.1677052,5.6864962,1379,1
Madina,Ocansey Junction,Ghana,City,Madina,Accra,-0.1677052,5.6864962,1379,1
Madina~ Accra,Madina,Ghana,City,Madina,Accra,-0.1677052,5.6864962,1379,1
Madziba,Bulawayo,Zimbabwe,Village,Diepsloot,Johannesburg,28.5887063,-20.1560599,1683,1
Mafakatini,Pietermaritzburg,South Africa,Village,Katlehong,Johannesburg,30.3788889,-29.6,2942,1
Mafeteng,Maseru,Lesotho,Village,Katlehong,Johannesburg,27.2388281,-29.8224468,408,1
Magadga,Baraka,Democratic Republic Of The Congo,Village,Kayole,Nairobi,27.47576191,-11.61971315,4002,1
Magadini,Moshi,Tanzania,Village,Kawangware,Nairobi,37.0036401,-3.1634958,106,1
Magalaneng,Qwaqwa,South Africa,Village,Diepsloot,Johannesburg,28.8066789,-28.5359227,809,1
Magone,Wa,Ghana,Town,James Town,Accra,-2.5054273,10.0623261,69,1
Magudu,Bilene,Mozambique,Village,Berea,Johannesburg,33.13616268,-25.07326245,307,1
Magwegwe,Bolawayo,Zimbabwe,Town,Diepsloot,Johannesburg,28.5082801,-20.1372279,1683,1
Majaga,Uvira,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,29.00714089,-3.1982504,202,1
Majimbo,Bondo,Kenya,Village,Kawangware,Nairobi,34.2739935,-0.0993654,490,1
Makhandeni,Bulawayo,Zimbabwe,Town,Berea,Johannesburg,28.5887063,-20.1560599,1683,1
Makunga,Kimilili,Kenya,Village,Ongata Rongai,Nairobi,34.7166,0.7833,786,1
Makuyu,Murang'A,Kenya,Village,Kayole,Nairobi,37.186523,-0.900584,221,1
Makuyu,Muranga,Kenya,Village,Kayole,Nairobi,37.186523,-0.900584,221,1
Malaba,Busia,Kenya,Village,Kawangware,Nairobi,34.269398,0.632706,954,1
Malakal,Juba,South Sudan,Village,Ongata Rongai,Nairobi,31.5951655,4.8472017,29,1
Malava,Kakamega,Kenya,Town,Kawangware,Nairobi,34.85462786,0.4422142,963,1
Malavi,Niamey,Niger,Town,James Town,Accra,2.109823,13.524834,3747,1
Mamabolo,Pietersburg,South Africa,Village,Berea,Johannesburg,27.8215744,-26.2512999,16878,1
Mamaolo,Petersburg,South Africa,Village,Berea,Johannesburg,29.4613889,-23.9058333,3273,1
Mamelodi,Pretoria,South Africa,Town,Katlehong,Johannesburg,28.3808295,-25.7158053,10012,1
Mampong,Aburi,Ghana,Town,James Town,Accra,-1.40425,7.056139,149,1
Mampong,Kumasi,Ghana,Town,Madina,Accra,-1.40425,7.056139,149,1
Mampongten,Kumasi,Ghana,Town,James Town,Accra,-1.6230404,6.698081,13614,1
Mang,Kisii,Kenya,Village,Kayole,Nairobi,34.75398551,-0.73894255,197,1
Mang,Kisii,Kenya,Village,Ongata Rongai,Nairobi,34.75398551,-0.73894255,197,1
Mango,Lome,Togo,Town,Madina,Accra,0.4770206,10.3569681,69,1
Mankesim,Winneba,Ghana,Town,James Town,Accra,-0.62134,5.35006,1002,1
Manyatta,Kisumu,Kenya,Town,Kawangware,Nairobi,34.4813935,0.3333086,1421,1
Manyisa,Manyisa,Mozambique,Town,Katlehong,Johannesburg,32.56745,-25.966213,7767,1
Maphanga,Germison,South Africa,Town,Katlehong,Johannesburg,28.1477778,-26.3175,10658,1
Maphumulo,Pietermaritzburg,South Africa,Village,Berea,Johannesburg,31.05957439,-29.1046425,48,1
Mapotsoe,Leribe,Lesotho,Village,Diepsloot,Johannesburg,28.0579408,-28.866891,388,1
Maputo,Khongoloti,Mozambique,City,Katlehong,Johannesburg,32.56745,-25.966213,7767,2
Maputo,Maputo,Mozambique,Town,Katlehong,Johannesburg,32.56745,-25.966213,7767,1
Maputo,Maputo,Mozambique,Village,Katlehong,Johannesburg,32.56745,-25.966213,7767,1
Maputo,Nyembani,Mozambique,City,Katlehong,Johannesburg,32.56745,-25.966213,7767,1
Maputo,Shamankulu,Mozambique,City,Katlehong,Johannesburg,32.56745,-25.966213,7767,1
Marachi,Busia,Kenya,Village,Kawangware,Nairobi,34.26479521,0.3712048,625,1
Maragweni,Maputo,Mozambique,Village,Katlehong,Johannesburg,32.56745,-25.966213,7767,1
Maramvya,Bujumbura,Burundi,Village,Kayole,Nairobi,29.3675028,-3.3638125,9777,1
Marial Bai,Aweil,South Sudan,Village,Kawangware,Nairobi,28.0852438,8.401353,55,1
Marracunne,Maputo,Mozambique,Town,Katlehong,Johannesburg,32.56745,-25.966213,7767,1
Marula,Bulawayo,Zimbabwe,Village,Diepsloot,Johannesburg,30.8149701,-20.0466794,1549,1
Masafu,Kampala,Uganda,Village,Kawangware,Nairobi,32.5813539,0.3177137,435,1
Maseno,Ruanda,Kenya,Village,-3,Nairobi,34.59989682,-0.0078518,832,1
Maseru,Maseru,Lesotho,City,Berea,Johannesburg,27.478222,-29.310054,1687,1
Maseru,Maseru,Lesotho,Village,Berea,Johannesburg,27.478222,-29.310054,1687,1
Mashamba,Louis Tritchat,South Africa,Village,Diepsloot,Johannesburg,30.2627526,-23.2151282,1411,1
Mashashane,Polokwane,South Africa,Village,Katlehong,Johannesburg,29.1190686,-23.9410451,438,1
Mashinari,Kinangop,Kenya,Village,Kayole,Nairobi,36.65,-0.7166,184,1
Masinga,Machakos,Kenya,Town,Ongata Rongai,Nairobi,37.58868661,-0.87960045,98,1
Masisi,Murenge,Democratic Republic Of The Congo,Village,Kayole,Nairobi,28.88219932,-1.37136085,266,1
Masogo,Kisumu,Kenya,Village,Kayole,Nairobi,34.9273851,-0.1516197,680,1
Mason Keyakro,Obuasi,Ghana,Town,Madina,Accra,-1.6894045,6.211542,297,1
Masosa,Nyamira,Kenya,Village,Kayole,Nairobi,34.9341308,-0.65225405,1075,1
Matadi,Kinshasa,Democratic Republic Of The Congo,Village,Kayole,Nairobi,13.4948203,-5.79740005,68,1
Matadi,Matadi,Democratic Republic Of The Congo,City,Berea,Johannesburg,13.4948203,-5.79740005,68,1
Matatiele,Matatiele,South Africa,Town,Diepsloot,Johannesburg,28.811944,-30.341667,731,1
Matayos,Busia,Kenya,Village,Kawangware,Nairobi,34.1649421,0.3649327,612,1
Mathabatha,Polokwane,South Africa,Village,Diepsloot,Johannesburg,29.4613889,-23.9058333,3273,2
Matinyani,Kitui,Kenya,Village,Kayole,Nairobi,38.37281165,-1.56422195,631,1
Matola,I Don'T Know The Town I Was Still Young When I Left,Mozambique,Town,Diepsloot,Johannesburg,32.466956,-25.966917,6382,1
Matola,Maputo,Mozambique,Village,Berea,Johannesburg,32.466956,-25.966917,6382,1
Matola,Maputu,Mozambique,Town,Katlehong,Johannesburg,32.466956,-25.966917,6382,1
Matopo,Bulawayo,Zimbabwe,Village,Berea,Johannesburg,29.7468414,-18.4554963,36,2
Matsulu,Nelspruit,South Africa,Village,Berea,Johannesburg,31.3557979,-25.5201641,4705,1
Matunda,Uasin Gishu,Kenya,Village,Ongata Rongai,Nairobi,35.12127738,0.82795955,1371,1
Matungu,Kakamega Town,Kenya,Village,Ongata Rongai,Nairobi,34.4734444,0.3935665,777,1
Matuu,Machakos,Kenya,Village,Ongata Rongai,Nairobi,37.5484852,-1.1438281,911,1
Mauluma,Louistrichat,South Africa,Village,Diepsloot,Johannesburg,30.13530906,-22.92819705,1226,1
Mavhunga,Makhado,South Africa,Village,Diepsloot,Johannesburg,30.1172048,-22.92659135,554,1
Mayenje,Mumias,Kenya,Village,Kayole,Nairobi,34.4891,0.3363,2785,1
Mbale,Kampala,Uganda,Town,Kawangware,Nairobi,38.3802196,-3.4002674,6396,1
Mbale,Mbale,Uganda,Town,Kawangware,Nairobi,38.3802196,-3.4002674,#N/A,1
Mbooni,Makueni,Kenya,Village,Ongata Rongai,Nairobi,37.4666,-1.6166,561,1
Mbooni,Wote,Kenya,Village,Ongata Rongai,Nairobi,37.4666,-1.6166,561,1
Mbuji-Mayi,Mbuji-Mayi,Democratic Republic Of The Congo,City,Berea,Johannesburg,23.5998111,-6.1258942,23441,1
Mbumbo,Mbale,Uganda,Village,Kawangware,Nairobi,38.3802196,-3.4002674,#N/A,1
Mbuyuni,Arusha,Tanzania,Village,Kayole,Nairobi,39.2040756,-6.767076,8039,2
Meadowlands,Johannesburg,South Africa,Town,Berea,Johannesburg,27.8982351,-26.2215086,18673,1
Medina,Accra,Ghana,Town,Madina,Accra,5.644430886839866,-0.12030985253936523,14940,4
Mfongomfongo,Nqutu,South Africa,Village,Diepsloot,Johannesburg,30.6733333,-28.2166667,2127,1
Mgadi,Germiston,South Africa,Town,Katlehong,Johannesburg,27.8611786,-26.2267255,15718,1
Mganda,Mbale,Uganda,Village,Kawangware,Nairobi,38.3802196,-3.4002674,#N/A,1
Mganwinwi,Bulawayo,Zimbabwe,Town,Diepsloot,Johannesburg,28.5887063,-20.1560599,1683,1
Mhlava,Tzaneen,South Africa,Village,Diepsloot,Johannesburg,30.1611111,-23.8319444,643,1
Mibunda,Minembwe,Democratic Republic Of Congo,Village,Ongata Rongai,Nairobi,28.7300599,-3.9344201,#N/A,1
Michatha,Kinamba,Kenya,Village,Ongata Rongai,Nairobi,36.3208699,0.4139246,290,1
Migosi,Kisumu,Kenya,Village,Kawangware,Nairobi,34.78214682,-0.0779855,15176,1
Miguani-Kitui,Kitui,Kenya,Village,Kayole,Nairobi,38.37281165,-1.56422195,10,1
Mikai,Oyugis,Kenya,Village,Ongata Rongai,Nairobi,34.734576,-0.509908,1666,1
Milembwe,Minembwe,Democratic Republic Of The Congo,Town,Kayole,Nairobi,28.7300599,-3.9344201,45,1
Milimba,Bukavu,Democratic Republic Of The Congo,Village,Kayole,Nairobi,28.8377151,-5.0051459,46,1
Minembwa,South Kivu,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,28.8336436,-2.51039075,13044,1
Minembwe,Bukavu,Congo-Brazzaville,Village,Ongata Rongai,Nairobi,28.7300599,-3.9344201,#N/A,1
Minembwe,Bukavu,Democratic Republic Of The Congo,Town,Kayole,Nairobi,28.7300599,-3.9344201,45,2
Minembwe,Bukavu,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,28.7300599,-3.9344201,45,1
Minembwe,Kalinge,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,28.7300599,-3.9344201,45,1
Minembwe,Madegu,Democratic Republic Of The Congo,Town,Kayole,Nairobi,28.7300599,-3.9344201,45,1
Minembwe,Minembwe,Democratic Republic Of The Congo,Town,Ongata Rongai,Nairobi,28.7300599,-3.9344201,45,2
Minembwe,Uvila,Democratic Republic Of The Congo,Village,Kayole,Nairobi,28.7300599,-3.9344201,45,1
Minembwe,Uvira,Congo-Brazzaville,Village,Ongata Rongai,Nairobi,28.7300599,-3.9344201,#N/A,1
Minembwe,Uvira,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,28.7300599,-3.9344201,45,1
Misakwane,Machakos,Kenya,Village,Ongata Rongai,Nairobi,37.39526976,-1.27900465,536,1
Mitini,Kitui,Kenya,Village,Kayole,Nairobi,38.37281165,-1.56422195,10,1
Mkhulu,Mzuzu,Malawi,Village,Diepsloot,Johannesburg,34.0226422,-11.4607518,2005,1
Mngandi,Germiston,South Africa,Town,Katlehong,Johannesburg,28.180556,-26.229444,4204,1
Mnyonyo,Kampala,Uganda,Village,Kayole,Nairobi,32.5813539,0.3177137,6396,1
Mogoshi,Blantyre,Malawi,Village,Berea,Johannesburg,35.0035694,-15.7862543,1211,1
Mohlakeng,Randfontein,South Africa,Town,Berea,Johannesburg,27.694167,-26.173611,1516,1
Moi'S Bridge,Eldoret,Kenya,Village,Kawangware,Nairobi,35.120005,0.87599,3524,1
Moi'S Bridge,Kitale,Kenya,Town,Ongata Rongai,Nairobi,35.120005,0.87599,1993,1
Mokhotlong,Maputsoe,Lesotho,Village,Katlehong,Johannesburg,28.6151141,-29.1998573,30,1
Mokhuhlu,Hazyview,South Africa,Village,Berea,Johannesburg,31.1283552,-25.0441726,54,1
Moko,Doso,Niger,Village,Old Fadama,Accra,2.109823,13.524834,3747,1
Mokoine,Kisii,Kenya,Village,Kawangware,Nairobi,34.75398551,-0.73894255,54,1
Mokoromoji,Kampala,Uganda,Village,Kawangware,Nairobi,32.5813539,0.3177137,6396,1
Molapo,Soweto,South Africa,City,Diepsloot,Johannesburg,27.8627778,-26.2580556,10935,1
Molo,Nakuru,Kenya,Village,Ongata Rongai,Nairobi,36.0712048,-0.2802724,1398,1
Mombasa,Kisauni,Kenya,City,Kawangware,Nairobi,39.667169,-4.05052,14591,1
Mondernspruit,Brats,South Africa,Town,Diepsloot,Johannesburg,20.4426129,-34.0210745,1027,1
Mondlo,Vryheid,South Africa,Village,Katlehong,Johannesburg,30.7196884,-27.958203,14,1
Monduli,Arusha,Tanzania,Village,Kayole,Nairobi,36.80042007,-3.52386665,86,1
Moradey,Niamey,Niger,Town,James Town,Accra,2.109823,13.524834,3747,1
Morogoro,Mogororo,Tanzania,Town,Berea,Johannesburg,38.07965971,-7.0536105,23,1
Morogoro,Morogoro,Tanzania,City,Berea,Johannesburg,38.07965971,-7.0536105,23,1
Morogoro,Morogoro,Tanzania,Town,Berea,Johannesburg,38.07965971,-7.0536105,23,1
Moruga,Nyamira,Kenya,Village,Kawangware,Nairobi,34.9341308,-0.65225405,1075,1
Mother Well,Port Elizabeth,South Africa,Village,Diepsloot,Johannesburg,25.6207519,-33.9617051,5677,1
Mozambique,Mabhalane,Mozambique,Village,Katlehong,Johannesburg,34.9144977,-19.302233,6,1
Mozambique,Maputo,Mozambique,Village,Katlehong,Johannesburg,34.9144977,-19.302233,6,1
Mpilo,Bulawayo,Zimbabwe,Village,Diepsloot,Johannesburg,18.6620869,-34.0314661,1683,1
Mpumalanga,Bushbargridge,South Africa,Village,Katlehong,Johannesburg,30.1500153,-26.276849,1,1
Mpumalanga,Volkrast,South Africa,City,Katlehong,Johannesburg,30.1500153,-26.276849,1,1
Msinga,Greytown,South Africa,Village,Berea,Johannesburg,30.5033,-28.7008,83,1
Msinga,Maritzburg,South Africa,Village,Katlehong,Johannesburg,30.5033,-28.7008,83,1
Msinga,Mariztburg,South Africa,Village,Katlehong,Johannesburg,30.5033,-28.7008,83,1
Msinga,Tugela Furey,South Africa,Village,Berea,Johannesburg,30.5033,-28.7008,83,1
Mtwapa,Mombasa,Kenya,Town,Ongata Rongai,Nairobi,39.742359,-3.947402,2479,1
Mua,Machakos,Kenya,Village,Ongata Rongai,Nairobi,36.8415222,-1.254983,825,1
Muchonoke,Embu,Kenya,Town,Ongata Rongai,Nairobi,37.66528844,-0.5359479,179,1
Mugendi,Kayole,Kenya,Village,Kayole,Nairobi,36.9169455,-1.2659842,67904,1
Mugeti,Uvira,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,29.00714089,-3.1982504,202,1
Mugono,Uvira,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,29.00714089,-3.1982504,202,1
Muhanga,Uvira,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,29.4051502,0.262924,41,1
Mukaro,Nyeri,Kenya,Village,Kayole,Nairobi,36.9517005,-0.4192962,4286,1
Mukeo,Kinangop,Kenya,Village,Kayole,Nairobi,36.65,-0.7166,184,1
Mukono,Kampala,Uganda,Village,Kawangware,Nairobi,36.8491067,-1.2646633,0,1
Mukumuni,Nyamira,Kenya,Town,Kawangware,Nairobi,34.9341308,-0.65225405,1075,1
Mulamba,Meru,Kenya,Village,Ongata Rongai,Nairobi,37.6500063,0.0499786,4616,1
Muliza,Minembwe,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,28.7300599,-3.9344201,45,1
Mumias,Kakamega,Kenya,Village,Kayole,Nairobi,34.4891,0.3363,2785,1
Mungore,Bungoma,Kenya,Town,Kayole,Nairobi,34.71916811,0.78292445,1857,1
Muramba,Funyula,Kenya,Village,Ongata Rongai,Nairobi,38.1563079,-3.4528067,6,1
Murehwa,Zimbabwe,Zimbabwe,Town,Katlehong,Johannesburg,31.8388002,-17.80443625,80,1
Murenge,Masisi,Democratic Republic Of The Congo,Village,Kayole,Nairobi,28.88219932,-1.37136085,266,1
Murenge,Minembwe,Democratic Republic Of The Congo,Village,Kayole,Nairobi,28.7300599,-3.9344201,45,1
Mushungwa,Beila,Mozambique,Village,Katlehong,Johannesburg,34.841782,-19.828707,769,1
Mushungwe,Mashaad,Mozambique,Village,Diepsloot,Johannesburg,34.9144977,-19.302233,6,1
Mushungwe,Mozambique,Mozambique,Village,Katlehong,Johannesburg,34.9144977,-19.302233,6,1
Mushungwe,Mushungwe,Mozambique,City,Berea,Johannesburg,34.9144977,-19.302233,6,1
Musina,Musina,South Africa,Village,Berea,Johannesburg,30.0268526,-22.3453519,271,1
Muslim~ Kawangware,Nairobi,Kenya,Village,Kawangware,Nairobi,36.8172449,-1.2832533,5332,1
Musumba,Bisoro,Burundi,Village,Ongata Rongai,Nairobi,30.3449861,-3.5586288,412,1
Mutola,Maputo,Mozambique,Town,Diepsloot,Johannesburg,32.56745,-25.966213,7767,1
Mwananyakundi,Kisii,Kenya,Village,Ongata Rongai,Nairobi,34.75398551,-0.73894255,1084,1
Mwantini,Shinyanga,Tanzania,Village,Kayole,Nairobi,33.23203607,-3.76222255,123,1
Mzimhlophe,Johannesburg,South Africa,Town,Berea,Johannesburg,25.55694653,-33.85737515,9081,1
Mzimhlophe,Johannesburg,South Africa,Town,Katlehong,Johannesburg,25.55694653,-33.85737515,9081,1
Mzimhlophe,Johannesburg,South Africa,Village,Katlehong,Johannesburg,25.55694653,-33.85737515,9081,1
Nairobi,Kayole,Kenya,City,Kayole,Nairobi,36.8172449,-1.2832533,5332,1
Nairobi,Pumwani,Kenya,City,Kawangware,Nairobi,36.8172449,-1.2832533,5332,1
Naitiri,Bungoma,Kenya,Village,Kawangware,Nairobi,34.71916811,0.78292445,1857,1
Nakpalga,Nalerugu,Ghana,Village,James Town,Accra,-0.8423986,9.4051992,544,1
Naledi,Soweto,South Africa,City,Berea,Johannesburg,27.1182242,-30.6024539,187,1
Namanga,Kajiado,Kenya,Village,Ongata Rongai,Nairobi,36.7915635,-2.5461733,2322,1
Nambale,Busia,Kenya,Town,Kawangware,Nairobi,34.2519,0.4472,693,1
Nambane,Busia,Kenya,Village,Ongata Rongai,Nairobi,34.26479521,0.3712048,625,1
Nancefield,Nancefield,South Africa,City,Berea,Johannesburg,27.915,-26.3058333,2811,1
Nandom,Lawra,Ghana,Town,Old Fadama,Accra,-2.760077,10.8520701,115,1
Nanga Eboko,Yaounde,Cameroon,Village,James Town,Accra,11.5213344,3.8689867,15049,1
Nanton,Tamale,Ghana,Town,Old Fadama,Accra,-0.7300356,9.5513539,105,1
Naser,Makal,South Sudan,Village,Ongata Rongai,Nairobi,31.6604173,9.6046285,230,1
Natalspriut,Germiston,South Africa,Town,Katlehong,Johannesburg,28.180556,-26.229444,4204,2
Natalspruit,Alberton,South Africa,Town,Katlehong,Johannesburg,28.153127,-26.3006493,9877,2
Natalspruit,Germiston,South Africa,Town,Katlehong,Johannesburg,28.153127,-26.3006493,9877,1
Navrongo,Bolgatanga,Ghana,Town,Madina,Accra,-1.0883729,10.8928117,146,1
Navrongo,Bolgatanga,Ghana,Town,Old Fadama,Accra,-1.0883729,10.8928117,146,1
Ndori,Siaya,Kenya,Village,Ongata Rongai,Nairobi,34.3807761,-0.0687455,568,1
Newcastle,Newcastle,South Africa,Town,Katlehong,Johannesburg,29.923889,-27.762778,1698,1
Newclere,Johannesburg,South Africa,Town,Diepsloot,Johannesburg,28.049722,-26.205,24049,1
Ngambele,Addis Ababa,Ethiopia,Village,Ongata Rongai,Nairobi,38.7612525,9.0107934,21068,1
Ngatundu,Kiambu,Kenya,Village,Ongata Rongai,Nairobi,36.8156867,-1.03207695,829,1
Ngcolosi,Kramskop,South Africa,Village,Berea,Johannesburg,30.6250889,-29.8070184,3100,1
Ngethi,Mkorowaine,Kenya,Village,Kayole,Nairobi,38.02988321,-0.9571447,135,1
Ngomeni,Mwingi,Kenya,Village,Ongata Rongai,Nairobi,38.0666,-0.9333,389,1
Nguluni,Machakos,Kenya,Village,Kawangware,Nairobi,37.39526976,-1.27900465,312,1
