,Unnamed: 0,city_8,location,num_moves,dist,azimuth,lat,lon,location_pair,level,location_pair_id,locations,country,loc2,loc1,out_thm,ID
52,36,Nairobi,"('Kitui', 'Kitui', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kitui', 'Kitui', 'Kenya'))",1,18,Nairobi,Kenya,Kitui,Kitui,,
53,37,Nairobi,"('Kitui', 'Kitui', 'Kenya')",3,181.69299771032112,-0.1378914368679044,38.372811654368775,-1.56422195,"('Nairobi', ('Kitui', 'Kitui', 'Kenya'))",1,18,"('Kitui', 'Kitui', 'Kenya')",Kenya,Kitui,Kitui,,
54,38,Nairobi,"('Mathare', 'Nairobi', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Mathare', 'Nairobi', 'Kenya'))",1,19,Nairobi,Kenya,Nairobi,Mathare,Education,1.0
55,38,Nairobi,"('Mathare', 'Nairobi', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Mathare', 'Nairobi', 'Kenya'))",1,19,Nairobi,Kenya,Nairobi,Mathare,Housing,1.0
56,38,Nairobi,"('Mathare', 'Nairobi', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Mathare', 'Nairobi', 'Kenya'))",1,19,Nairobi,Kenya,Nairobi,Mathare,Work,1.0
57,39,Nairobi,"('Mathare', 'Nairobi', 'Kenya')",3,11.321495514295965,0.1082312747451063,36.853064670201896,-1.26475025,"('Nairobi', ('Mathare', 'Nairobi', 'Kenya'))",1,19,"('Mathare', 'Nairobi', 'Kenya')",Kenya,Nairobi,Mathare,Education,1.0
58,39,Nairobi,"('Mathare', 'Nairobi', 'Kenya')",3,11.321495514295965,0.1082312747451063,36.853064670201896,-1.26475025,"('Nairobi', ('Mathare', 'Nairobi', 'Kenya'))",1,19,"('Mathare', 'Nairobi', 'Kenya')",Kenya,Nairobi,Mathare,Housing,1.0
59,39,Nairobi,"('Mathare', 'Nairobi', 'Kenya')",3,11.321495514295965,0.1082312747451063,36.853064670201896,-1.26475025,"('Nairobi', ('Mathare', 'Nairobi', 'Kenya'))",1,19,"('Mathare', 'Nairobi', 'Kenya')",Kenya,Nairobi,Mathare,Work,1.0
60,40,Nairobi,"('Minembwe', 'Minembwe', 'Democratic Republic of the Congo')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Minembwe', 'Minembwe', 'Democratic Republic of the Congo'))",1,20,Nairobi,Democratic Republic of the Congo,Minembwe,Minembwe,,
61,41,Nairobi,"('Minembwe', 'Minembwe', 'Democratic Republic of the Congo')",3,941.5691652102628,-2.860121255597132,28.7300599,-3.9344201,"('Nairobi', ('Minembwe', 'Minembwe', 'Democratic Republic of the Congo'))",1,20,"('Minembwe', 'Minembwe', 'Democratic Republic of the Congo')",Democratic Republic of the Congo,Minembwe,Minembwe,,
62,42,Nairobi,"('Umoja', 'Nairobi', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Umoja', 'Nairobi', 'Kenya'))",1,21,Nairobi,Kenya,Nairobi,Umoja,(No Answer),2.0
63,42,Nairobi,"('Umoja', 'Nairobi', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Umoja', 'Nairobi', 'Kenya'))",1,21,Nairobi,Kenya,Nairobi,Umoja,Education,1.0
64,42,Nairobi,"('Umoja', 'Nairobi', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Umoja', 'Nairobi', 'Kenya'))",1,21,Nairobi,Kenya,Nairobi,Umoja,Housing,1.0
65,42,Nairobi,"('Umoja', 'Nairobi', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Umoja', 'Nairobi', 'Kenya'))",1,21,Nairobi,Kenya,Nairobi,Umoja,Kin,1.0
66,42,Nairobi,"('Umoja', 'Nairobi', 'Kenya')",3,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Umoja', 'Nairobi', 'Kenya'))",1,21,Nairobi,Kenya,Nairobi,Umoja,Work,2.0
67,43,Nairobi,"('Umoja', 'Nairobi', 'Kenya')",3,94.91145119023108,0.8275371039473393,37.3277619,-0.4900026,"('Nairobi', ('Umoja', 'Nairobi', 'Kenya'))",1,21,"('Umoja', 'Nairobi', 'Kenya')",Kenya,Nairobi,Umoja,(No Answer),2.0
68,43,Nairobi,"('Umoja', 'Nairobi', 'Kenya')",3,94.91145119023108,0.8275371039473393,37.3277619,-0.4900026,"('Nairobi', ('Umoja', 'Nairobi', 'Kenya'))",1,21,"('Umoja', 'Nairobi', 'Kenya')",Kenya,Nairobi,Umoja,Education,1.0
69,43,Nairobi,"('Umoja', 'Nairobi', 'Kenya')",3,94.91145119023108,0.8275371039473393,37.3277619,-0.4900026,"('Nairobi', ('Umoja', 'Nairobi', 'Kenya'))",1,21,"('Umoja', 'Nairobi', 'Kenya')",Kenya,Nairobi,Umoja,Housing,1.0
70,43,Nairobi,"('Umoja', 'Nairobi', 'Kenya')",3,94.91145119023108,0.8275371039473393,37.3277619,-0.4900026,"('Nairobi', ('Umoja', 'Nairobi', 'Kenya'))",1,21,"('Umoja', 'Nairobi', 'Kenya')",Kenya,Nairobi,Umoja,Kin,1.0
71,43,Nairobi,"('Umoja', 'Nairobi', 'Kenya')",3,94.91145119023108,0.8275371039473393,37.3277619,-0.4900026,"('Nairobi', ('Umoja', 'Nairobi', 'Kenya'))",1,21,"('Umoja', 'Nairobi', 'Kenya')",Kenya,Nairobi,Umoja,Work,2.0
